FID IID Height
3178 258 0.0707575059514856
3402 259 -1.04825962193112
3603 260 0.111218589777374
3009 261 -0.36843975679923
868 262 1.76992694059126
2526 263 -0.260581373827118
380 264 -0.238379579403886
156 265 -1.76962694261978
156 266 NA
2675 267 -0.636134577581723
381 268 NA
381 269 -0.291081871496799
1308 270 -1.09865047981612
1145 271 0.32640708360233
2676 272 0.542123849546554
2677 273 -1.70970561874638
218 274 0.463784444729611
3604 275 -0.0456555534448809
3179 276 0.020928590112927
4019 277 -0.961803956637521
4019 278 NA
3605 279 -0.272565638601797
1767 280 NA
3948 281 1.08117524787729
2527 282 -0.260581373827118
869 283 NA
869 284 -0.350343101372298
3180 285 1.70755181793158
3117 286 0.895539402134678
219 287 0.338391348377009
3181 288 NA
157 289 0.362359877926368
1248 290 -1.13519218584887
2528 291 NA
2528 292 NA
2528 293 1.25506734537505
703 294 -0.555397806594871
3182 295 NA
2970 296 2.67460142984996
870 297 0.00607094908389322
2678 298 -0.243144812398083
2039 299 NA
1190 300 -0.199972986293563
1190 301 NA
3097 302 NA
3097 303 1.71953608270626
3606 304 -0.703758653960422
871 305 0.351160828763302
1768 306 1.61880174798153
2351 307 -0.837450453559467
2679 308 NA
2679 309 -0.343784163589712
382 310 -0.688874043269121
1769 311 0.325872388372681
2680 312 0.949588851885643
2680 313 NA
2314 314 -0.576250427302812
3303 315 NA
3303 316 2.65647780476077
3183 317 0.47576870950429
4052 318 0.3804565333533
2529 319 -0.391721222688429
1576 320 -0.243144812398083
3607 321 1.23697068994812
2879 322 -1.64025382888459
2879 323 NA
2879 324 NA
704 325 -2.1626538813979
2040 326 1.30887627859619
2681 327 -2.88878643508076
1061 328 -1.44067067933827
383 329 -1.17067828692693
2490 330 -1.09312700087258
2041 331 1.13244947332535
1595 332 -0.140738726080327
1595 333 NA
3118 334 1.919833265575
2530 335 -0.262317990329367
2219 336 0.446249731349121
3920 337 1.56641771298688
3608 338 0.641793610814131
3608 339 NA
584 340 0.32640708360233
1770 341 -0.950442878317453
705 342 -0.72185530938735
2531 343 1.15063708286719
585 344 -0.188675785179044
